69.7993 28.6752	61.467 67.2305	66.2876 37.518	60.7782 53.159	
61.6764 37.7464	57.4105 54.864	62.6193 40.4315	63.5213 48.4246	
60.2642 38.9045	56.2134 52.7547	61.1447 41.3501	62.2595 46.9318	
58.4804 40.2396	54.8467 50.6665	59.7683 42.0992	61.2492 45.8894	
57.526 40.9002	54.1808 49.7458	58.8401 42.5502	59.5784 44.5589	
56.2411 41.7346	53.2923 48.5996	57.8221 42.9977	58.5038 44.5159	
55.8018 42.0061	52.943 48.1722	56.8484 43.382	57.7152 44.5287	
55.067 42.4451	52.5254 47.6771	55.8133 43.7456	56.5947 44.5882	
54.4967 42.7731	52.2791 47.3927	55.3126 43.9054	55.6788 44.6739	
54.1539 42.965	52.1082 47.1986	54.8026 44.0577	55.2806 44.6562	
53.3898 43.3792	51.7765 46.8292	54.0643 44.2598	54.6385 44.7012	
53.0103 43.5779	51.5894 46.6249	53.5247 44.3939	54.1436 44.7025	
52.8435 43.6638	51.4999 46.5282	53.2175 44.4653	53.4591 44.7596	
52.5323 43.8219	51.3678 46.3867	53.0068 44.5122	53.0206 44.7572	
52.3793 43.8985	51.2799 46.2933	52.7015 44.577	52.8205 44.7626	
52.1945 43.99	51.1902 46.1986	52.5419 44.6096	52.5215 44.8672	
52.0366 44.0674	51.116 46.1208	52.3626 44.6449	52.3387 44.9041	
51.8072 44.1786	51.0066 46.0068	52.0602 44.7019	52.0956 44.8861	
51.5691 44.2922	50.8794 45.8755	51.7574 44.7555	51.8353 44.976	
51.3904 44.3765	50.8003 45.7944	51.6077 44.7807	51.6015 44.9677	
51.2491 44.4424	50.7282 45.7209	51.4765 44.8022	51.4529 45.0064	
51.0937 44.5142	50.6522 45.644	51.3254 44.8261	51.2854 44.9897	
50.9512 44.5795	50.5724 45.5634	51.1606 44.8512	51.1594 45.0163	
50.8165 44.6406	50.4984 45.4893	51.0097 44.8733	51.0455 45.0058	
50.7724 44.6605	50.4687 45.4597	50.9267 44.8851	50.9466 44.993	
50.7182 44.6849	50.4335 45.4246	50.8358 44.8978	50.8391 45.0057	
50.6549 44.7133	50.3932 45.3846	50.7355 44.9114	50.7576 45.0207	
50.5837 44.745	50.3605 45.3521	50.6965 44.9166	50.683 44.9859	
50.5371 44.7657	50.3327 45.3247	50.6584 44.9216	50.6393 44.9765	
50.4769 44.7924	50.2931 45.2856	50.5933 44.9301	50.5647 44.9857	
50.4528 44.8031	50.2742 45.2671	50.5243 44.9388	50.529 44.9944	
50.3965 44.8279	50.2432 45.2365	50.473 44.9453	50.485 44.9877	
50.3579 44.8448	50.2164 45.2103	50.4032 44.9539	50.4257 45.0041	
50.3236 44.8598	50.1977 45.192	50.3721 44.9576	50.3933 45.0054	
50.3019 44.8693	50.1849 45.1795	50.346 44.9608	50.3664 45.0033	
50.2704 44.8831	50.1673 45.1623	50.3184 44.9641	50.3209 45.0038	
50.2364 44.8979	50.1474 45.1429	50.2838 44.9681	50.2793 45.0124	
50.2041 44.9119	50.1299 45.1259	50.2587 44.9711	50.2591 45.0108	
50.1872 44.9193	50.1194 45.1156	50.2352 44.9738	50.2238 45.0051	
50.1763 44.924	50.1111 45.1075	50.2098 44.9767	50.2055 45.0052	
50.1482 44.9362	50.0936 45.0906	50.1785 44.9803	50.1776 45.0047	
50.1313 44.9435	50.0824 45.0797	50.1531 44.9832	50.1565 45.0059	
50.1176 44.9494	50.0739 45.0714	50.137 44.985	50.1449 45.0075	
50.1061 44.9544	50.0676 45.0654	50.1272 44.9861	50.1279 45.0068	
50.0901 44.9613	50.0582 45.0562	50.1129 44.9877	50.1129 45.0047	
50.0869 44.9627	50.0557 45.0538	50.1058 44.9885	50.1029 45.0019	
50.08 44.9656	50.0504 45.0487	50.092 44.99	50.0966 45.0034	
50.0723 44.9689	50.0455 45.044	50.0838 44.9909	50.0895 45.0024	
50.0629 44.973	50.0397 45.0384	50.0744 44.9919	50.0792 45.001	
50.0584 44.9749	50.037 45.0357	50.0702 44.9924	50.0736 45.0011	
